Ecuación,Clasificación
1*y'' + 2*y' + 3*y = 0,homogénea
2*y'' - 5*y' + 7*y = 8*cos(x),heterogénea 
y'' - 4*y = 0,homogénea
3*y'' + 2*y' - y = 4*sin(x),heterogénea
4*y'' - 7*y' + 2*y = 0,homogénea
2*y'' + 9*y' - 6*y = 5*x,heterogénea
y'' + 6*y' + 9*y = 0,homogénea
3*y'' - 8*y' + 2*y = 6*e^x,heterogénea
5*y'' - 10*y' + 5*y = 0,homogénea
y'' + y = 2*cos(x),heterogénea
y'' + 4y' + 4y = e^(-2x),heterogénea
y'' + 6y' + 9y = 0,homogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' - y = 2x,heterogénea 
y'' + 3y' + 2y = 0,homogénea
y'' + 2xy' - 2y = 0,heterogénea
y'' + y' + y = cos(x),heterogénea
y'' + y = 2x^2,heterogénea
y'' - 4y' + 4y = 0,homogénea
y'' + y' - 6y = 3x^2 - 4x + 7,heterogénea
y'' + 2y' + 5y = e^(3x),heterogénea
y'' - 4y' + 4y = 4x + 9,heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + y = 2x + 1,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' - 5y' + 6y = 0,homogénea  
y'' + 2y' + y = 0,homogénea
y'' - 4y' + 4y = e^(2x),heterogénea
2y'' - 3y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
2y'' + y' + y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + 2y' - 8y = 0,homogénea 
y'' - 2y' + y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
3y'' + 7y' + 4y = 0,homogénea
y'' - y' - 6y = 0,homogénea
y'' + 3y' + 2y = e^(-2x),heterogénea
y'' + y' + 2y = 0,homogénea
y'' - 2y' + 5y = 2sin(x) + cos(x),heterogénea
y'' - 4y' + 13y = 0,homogénea
y'' - y' + y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + 2y' + y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + 2y' + 2y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea  
y'' + 3y' + 2y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' - 2y' - 3y = 0,homogénea
y'' + 3y' + 3y = 0,homogénea 
y'' + 2y' - y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
y'' + 2y' + 5y = 0,homogénea
y'' - 6y' + 13y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' - 5y' + 6y = 0,homogénea
y'' + y = 0,homogénea 
y'' - 2y' + y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' - 2xy' + (1 - x^2)y = 0,heterogénea
y'' + y' + y = 2x + 1,heterogénea
y'' - 4y' + 4y = 4x + 9,heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' + 3y' + 2y = 2x + 3,heterogénea 
y'' + 2y' + 5y = e^x,heterogénea
y'' + y' + 2y = x^2 + 1,heterogénea
y'' + 2y' - y = 2x - 1,heterogénea
y'' - 4y' + 5y = 5x^2 - 4x + 3,heterogénea
y'' + y' - 2y = e^x - 3cos(x),heterogénea
y'' - 3y' + 2y = 2x^2 + 3x,heterogénea
y'' + 4y' + 3y = 2x^2 + 4x - 1,heterogénea
y'' + y' - 4y = x^2 + 4x - 3,heterogénea
y'' + 2y' + 3y = 2x^2 - 3x + 4,heterogénea
y'' + y' - 8y = e^x + 3cos(2x),heterogénea
y'' + 3y' + 6y = 2e^(2x) + 3x^2 + 1,heterogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 6y' + 4y = 0,homogénea  
y'' - 5y' + 6y = 0,homogénea
y'' + 4y' + 3y = 0,homogénea
y'' - y' - 12y = 0,homogénea 
y'' - 6y' + 9y = 0,homogénea
y'' + 2y' + y = 0,homogénea
2y'' - y' + y = e^x,heterogénea
y'' + 3y' + 2y = 2sin(x),heterogénea
y'' + y' + 2y = 5x^2,heterogénea
y'' + y' + 2y = e^x,heterogénea
y'' + y' + 2y = sin(x),heterogénea
y'' + 2y' + 2y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
y'' + y' + 5y = 0,homogénea
2y'' - 5y' + 3y = 0,homogénea
y'' + 6y' + 13y = 0,homogénea
y'' + 4y' + 3y = e^(-x),heterogénea
y'' + y' + 6y = cos(2x),heterogénea
2y'' - y' + 2y = 5x^2,heterogénea
y'' - 8y' + 16y = 0,homogénea
y'' + 5y' + 6y = e^(2x),heterogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' - y' - 6y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea 
2y'' - 3y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
y'' - 2y' + y^(1/2) = 0,homogénea
y'' + 2y' + y = x^2 + 3,heterogénea
y'' - 6y' + 9y = 4e^(3x),heterogénea 
4y'' + 4y' + y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
2y'' + 5y' + y = 2x^2,heterogénea
y'' + y' - 6y = 5sin(2x),heterogénea
y'' - 2xy' + (1 + x^2)y = e^(x),heterogénea 
y'' + 2xy' - 2y = 0,homogénea
y'' + 3y' + 2y = 0,homogénea
y'' + 2y' - 8y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 3y' + y = 0,homogénea
3y'' + 7y' + 4y = 0,homogénea
y'' - y' - 6y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + y' + y = 0,homogénea
2y'' - 3y' + y = 0,homogénea
y'' - 4y' + 4y = 0,homogénea
1y'' + 2y' + 3y = 0,homogénea
y'' - 4y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' + y = 0,homogénea
y'' + 2y' + 5y = e^(3x),heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' + y = 2x + 1,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea 
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' - 4y' + 4y = e^(2x),heterogénea
2y'' - 5y' + 2y = 3sin(x),heterogénea
y'' + y = 2x^2,heterogénea
y'' - y = 2x,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' + y' + y = cos(x),heterogénea
y'' + y' - 6y = 3x^2 - 4x + 7,heterogénea
y'' + 2y' + 2y = 0,homogénea
3y'' - 4y' + y = 0,homogénea
y'' + y' + y = 2cos(x),heterogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea
y'' + 2y' + y = sin(x),heterogénea
y'' + y = 2x^2,heterogénea 
y'' - 3y' + 2y = x^2 + 1,heterogénea
y'' - 7y' + 10y = e^(3x),heterogénea
y'' + 3y' + 2y + x = 0,homogénea
2y'' + 3y' - y = 4sin(x),heterogénea 
y'' + y' - 6y + 3x^2 - 4x + 7 = 0,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' - 5y' + 6y + 2e^(2x) = 0,heterogénea
2y'' - 3y' + y + x^2 = 0,heterogénea
y'' - 7y' + 10y = 3cos(x),heterogénea
y'' + 5y' + 6y = 3sin(x),heterogénea 
2y'' + 3y = 0,homogénea
y'' + y' + y^(1/2) = 0,homogénea
y'' + 4y = 0,homogénea
y'' - 3xy' + 4y = 0,homogénea
2y'' - 5y' + 2y = 0,homogénea
y'' + 2y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' - y' + 4y = 3sin(x),heterogénea 
y'' + 2y' + 2y = e^x,heterogénea
y'' - 4y' + 13y = x^2 + 5,heterogénea
y'' + y' + 2y = 4x,heterogénea 
y'' - y' - 2y = 3cos(x),heterogénea
y'' + 4y' + 4y = 2e^(2x),heterogénea
y'' + 2y' + y = 4x^2 - 3x + 1,heterogénea
2y'' + 4y' + 2y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
3y'' + 6y' + 3y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
4y'' + 12y' + 9y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
2*y'' - 3*y' + y = 0,homogénea 
3*y'' + 2*y' + y = 0,homogénea
y'' - 2xy' + (1 + x^2)y = 0,heterogénea 
y'' + 4y' + 4y = e^(-2x),heterogénea
y'' - 4y' + 4y = 0,homogénea
y'' + y' + y = cos(x),heterogénea
2*y'' + 6y' + 4y = 5x + 2,heterogénea
5*y'' - 6*y' + y = 3sin(x),heterogénea
y'' + y' - y = e^x + 2x,heterogénea
y'' + y = x^2 + 1,heterogénea
2*y' + y = 0,homogénea
y'' - 3*y' + 2*y = 0,homogénea
3*y'' - 5*y' + 2*y = 0,homogénea
4*y'' + 8*y' + 4*y = 0,homogénea
y'' + 4*y' + 4*y = 0,homogénea
2*y'' - y' - y = 0,homogénea
3*y'' - 2*y' - y = 0,homogénea
y'' + 2*y' + y = 0,homogénea
y'' + y' + y = cos(x),heterogénea  
y'' - 2*y' + y = 0,homogénea
2*y'' + y' + y = 0,homogénea
3*y'' + 7*y' + 4*y = 0,homogénea
y'' - y' - 6*y = 0,homogénea  
2*y' + 3*y = x,heterogénea
y'' + 6*y' + 9*y = 0,homogénea
y'' - 7*y' + 10*y = 0,homogénea
2*y'' + 3*y' + y = 0,homogénea
y'' + 5*y' + 6*y = 0,homogénea
y'' + y' - 6*y = e^x - 2*x,heterogénea
y'' - 5*y' + 6*y = 0,homogénea 
2*y'' - 3*y' + y = 0,homogénea
y'' - 4*y' + 4*y = e^(2*x),heterogénea
2*y' + 9*y = 0,homogénea
3*y'' + 7*y' + 4*y = 5*sin(x),heterogénea
y'' + 2*y' + 2*y = x^2 + 1,heterogénea
4*y'' - 8*y' + 4*y = 2*x^2 + 3*x,heterogénea
y'' + y' + y = 2*cos(x),heterogénea
5*y'' - 6*y' - y = 0,homogénea
y'' + 2*y' + y = 2*x + 1,heterogénea
3*y'' + 2*y' - y = 4*sin(x),heterogénea
4*y'' - 7*y' + 2*y = 0,homogénea  
2*y'' + 9*y' - 6*y = 5*x,heterogénea
y'' + 4y' + 4y = e^(-2x),heterogénea
y'' - 3y' + 2y = 0,homogénea
y'' + 2y' - 8y = 0,homogénea
y'' - 2y' + y = 0,homogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' - 4y' + 7y = 0,homogénea  
2y'' + 3y' - y = x^2,heterogénea 
y'' - 5y' + 7y = sin(2x),heterogénea 
y'' + 2y' + 5y = e^(3x),heterogénea
y'' - 4y' + 4y = 4x + 9,heterogénea
y'' + 4y = 2sin(2x) + 3cos(2x),heterogénea 
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + y = 2x + 1,heterogénea
y'' + 9y = 8e^(3x) - 2x,heterogénea  
y'' + y' + y = cos(x),heterogénea
y'' + y = 2x^2,heterogénea
y'' - 4y' + 4y = 0,homogénea
y'' + y' - 6y = 3x^2 - 4x + 7,heterogénea
2y'' - 3y' + y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
2y'' + y' + y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' - 3y' + 2y = 0,homogénea
2y'' + 5y' + 3y = 0,homogénea 
3y'' + 7y' + 4y = 0,homogénea
4y'' + 4y' + y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea
y'' - 2y' - 3y = 0,homogénea  
2y'' + 7y' + 3y = 0,homogénea
3y'' + 5y' + 2y = 0,homogénea
y'' + 3y' + 2y = 0,homogénea
y'' - 4y' + 3y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' - y' - 2y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
y'' - 6y' + 9y = 0,homogénea
y'' + y' + y = 0,homogénea
y'' + 2y' - y = e^x + x^2 + 3x - 2,heterogénea 
y'' - 3y' + 2y = 5cos(2x),heterogénea
y'' - 5y' + 6y = 2x^2 + 3x - 1,heterogénea
2y'' - y' + 3y = 6x + 2sin(x),heterogénea
y'' - y' - 6y = 5x + 1,heterogénea
2y'' + 3y' + y = e^(-x) + 2cos(x),heterogénea
y'' + 2y' + y = x^2 + 2x + 1,heterogénea
2y'' - y' - y = x^2 - 2x - 1,heterogénea
y'' - 6y' + 8y = 2e^x + 4x^2,heterogénea  
y'' + y' - 6y = e^x - x,heterogénea  
y'' + 4y' + 4y = 5e^(-x)sin(x),heterogénea
y'' + y' + 2y = 4cos(x) - 2sin(x),heterogénea
y'' + 2y' + 2y = x^2 - 1,heterogénea
y'' - y = xcos(x),heterogénea
y'' - y = 0,homogénea
y'' + 2y' + 6y = 0,homogénea 
y'' - 3y' + y = 0,homogénea
y'' + 4y' - 5y = 0,homogénea
y'' + 8y' + 7y = 0,homogénea
y'' - 5y' + 2y = 0,homogénea
y'' - 4y' + 3y = 0,homogénea
y'' + 5y' - 4y = 0,homogénea
y'' - 6y' + 11y = 0,homogénea
y'' - y' - 8y = 0,homogénea
y'' + 3y' + 10y = e^(2x),heterogénea
y'' + 2y' + 2y = 2cos(x),heterogénea
y'' + 4y' + 4y = x^2,heterogénea
y'' - y' - 2y = e^x,heterogénea 
y'' - 4y' + 4y = 2x^2,heterogénea
y'' + 2y' + y = sin(2x),heterogénea 
y'' - 8y' + 12y =3e^(2x),heterogénea 
y'' + 4y' + 4y = 2cos(2x),heterogénea
y'' - 3y' + 2y = 3sin(x),heterogénea
y'' - 2y' + 3y = 2x^2 + x,heterogénea
y'' + 3y' + 4y = x + 2cos(x),heterogénea
y'' - 3y' + 2y = cos(x) - sin(x),heterogénea 
y'' + y' + 2y = x^2 - 1,heterogénea
y'' + y' - 2y = e^x - 1,heterogénea
y'' - 2y' + y = 2x^2 + x,heterogénea
y'' - 5y' + 2y = (x + 1)^2,heterogénea 
y'' - 4y' + 3y = x^2 + 2x - 1,heterogénea 
y'' + 3y' + 2y = x - sin(x),heterogénea
y'' - 2y' - y = e^x + cos(x),heterogénea
y'' - 3y' + y = 2sin(2x),heterogénea
y'' + 2y' + 5y = 3x + 4 + e^(2x),heterogénea
y'' + 3y' + y = 2x^2 + 4x + 1,heterogénea
y'' + 5y' + 2y = x^3 - 3x^2,heterogénea 
y'' - 4y' + 11y = 0,homogénea
y'' + 7y' + 4y = 0,homogénea 
y'' - 2y' - 3y = 0,homogénea
y'' + 6y' + 9y = 0,homogénea
y'' - 7y' + 10y = 0,homogénea
y'' + 5y' + 6y = 0,homogénea  
4y'' + 9y' - 6y = 0,homogénea 
y'' - y' - 6y = 0,homogénea  
y'' + 3y' + 2y = 0,homogénea 
y'' - 4y' + 4y = 0,homogénea
y'' - 6y' + 13y = 0,homogénea
y'' + 4y' + 4y = 0,homogénea
2y'' - y' + y = 0,homogénea
y'' + 2y' + 2y = 0,homogénea
y'' - y = 0,homogénea
y'' - 4y = 0,homogénea
y'' + y' + y = 2cos(x),heterogénea
y'' + 3y' + 2y = 3x,heterogénea
y'' + 2y' + 5y = sin(x) + e^x,heterogénea
y'' + 4y = 3sin(2x) + 2cos(2x),heterogénea
y'' + y = x^2 + 1,heterogénea
y'' - 6y' + 8y = e^x + 3x^2,heterogénea
y'' + y = 2x + 1,heterogénea 
y'' + 9y = 8e^(3x) - 2x,heterogénea
y'' + 2y' + 2y = x^2 + 1,heterogénea
y'' + y' - 6y = e^x - 2x,heterogénea
y'' + 2y' + y = x^2 - 1,heterogénea
y'' + y' + 2y = x^2 + 5x + 7,heterogénea
y'' + 2y' + y = x^2 + 2x + 1,heterogénea 
y'' + 4y' + 3y = x^2 - 2x + 4,heterogénea 
y'' + 2y' + 5y = 3x^2 + 4x - 6,heterogénea 
3*y'' + 4*y' + y = 0,homogénea
y'' + 4*y' + 4*y = 0,homogénea
2*y'' - y' - y = 0,homogénea
3*y'' - 2*y' - y = 0,homogénea
y'' + 2*y' + y = 0,homogénea  
y'' - 6*y' + 9*y = 0,homogénea
2*y'' + 3*y' + y = 0,homogénea  
y'' + 5*y' + 6*y = 0,homogénea
y'' - 5*y' + 6*y = 0,homogénea 
2*y'' - 3*y' + y = 0,homogénea
y'' - 4*y' + 4*y = 0,homogénea
2*y'' - y' + y = 0,homogénea 
2*y'' + 3*y' + y = 0,homogénea    
3*y'' + 7*y' + 4*y = 0,homogénea  
y'' - 6*y' + 9*y = 0,homogénea
y'' + 4*y' + 4*y = 0,homogénea
y'' - y' - 6*y = 0,homogénea
2*y'' + 5*y' + 3*y = 0,homogénea
4*y'' + 4*y' + y = 0,homogénea    
y'' + 5*y' + 6*y = 0,homogénea
y'' - 2*y' - 3*y = 0,homogénea  
2*y'' + 7*y' + 3*y = 0,homogénea
3*y'' + 5*y' + 2*y = 0,homogénea   
y'' + 3*y' + 2*y = 0,homogénea
y'' - 4*y' + 3*y = 0,homogénea
y'' + 6*y' + 9*y = 0,homogénea
y'' - 2*y' + 4y = 4sin(3x),heterogénea 
y'' + 2*y' - 5y = 2x^2 + 3x - 4,heterogénea 
y'' - 8*y' + 9y = 6e^(3x),heterogénea
y'' + 7*y' + 2y = 2cos(4x),heterogénea
y'' - 2*y' - 4y = (x + 3)^2,heterogénea
2*y'' - 6*y' + 3y = sin(2x) + 2*x^2,heterogénea
y'' + 3*y' + 5y = 2*sin(2x) + x^2,heterogénea 
y'' + 4*y' + 3y = 4e^(2x) - 3x^2,heterogénea
y'' - 6*y' + 7y = 4cos(3x) + 2x^2,heterogénea  
y'' + 5*y' + 6y = 2sin(x) + 2cos(x),heterogénea
y'' - 2*y' + y = 2*e^(x) + x^2 + 3*x - 2,heterogénea
2y''' + 6y'' + 4y' = 0,homogénea
3y''' + 2y'' - y' = 0,homogénea
4y''' - 3y'' + y' =0,homogénea
5y''' -4y'' +2y' = 0,homogénea
y''' - 2y'' + 3y' = 0,homogénea
2y''' + 3y'' - 4y' = 0,homogénea
3y'''- 2y'' + y'= 0,homogénea 
y''' + 2y'' - y' = 0,homogénea 
y''' - y'' + 2y'= 0,homogénea
3y''' + 2y'' + y'= 0,homogénea
4y''' + 3y'' + 2y'= 0,homogénea
5y''' + 4y'' + 3y'= 0,homogénea
2y''' - y'' + 3y'= 0,homogénea
4y'''+3y''+2y'=6cos2(x),heterogénea 
3y'''+2y''-y'=-4sec4(x),heterogénea
5y'''-4y''+2y'=8tg5(x),heterogénea
2y'''-y''+3y'=3cbr2(x),heterogénea
y'''+2y''-y'=4csc(x),heterogénea
y'''-y''+2y'=-5cot(x),heterogénea
3y''' + 5y'' - 2y' = 0,homogénea 
y''' - 4y'' + 3y' = 0,homogénea
2y''' + 7y'' - y' = 0,homogénea
4y''' -6y'' +5y' = 0,homogénea   
5y''' +3y'' -4y' = 0,homogénea        
2y''' + y'' - 3y' = 0,homogénea
3y''' - y'' + 2y' = 0,homogénea        
y''' + 3y'' - 2y' = 0,homogénea
y''' - 2y'' + y' = 0,homogénea    
3y''' - 4y'' + y' = 0,homogénea
y'''-5y''+4y'=-3sin4(x),heterogénea
4y'''+2y''-3y'=5cos3(x),heterogénea
5y'''+3y''-4y'=-7tan2(x),heterogénea
2y'''+y''-3y'=-6sec(x),heterogénea
3y'''-y''+2y'=8csc3(x),heterogénea
y'''+3y''-2y'=5cot4(x),heterogénea
y''' - 5y'' + 6y' = 0,homogénea
2y''' + 3y'' - y' = 0,homogénea        
3y''' - 4y'' + 2y' = 0,homogénea
y''' + 4y'' - 3y' = 0,homogénea 
4y''' + y'' - 2y' = 0,homogénea        
5y''' - 2y'' + y'= 0,homogénea
y''' - 3y'' + 4y'= 0,homogénea      
2y''' - 4y'' + 3y'= 0,homogénea
3y''' + y'' - y'= 0,homogénea
y''' + 2y'' - 2y'= 0,homogénea
y'''-3y''+4y'=8sin3(x),heterogénea
2y'''-4y''+3y'=-5cos4(x),heterogénea 
3y'''+y''-y'=7tan5(x),heterogénea
y'''+2y''-2y'=9sec2(x),heterogénea
4y'''+y''-2y'=-6csc(x),heterogénea
5y'''-2y''+y'=-3cot3(x),heterogénea